name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,RESOLUTION,CHM,CHD,IRN,IFN,OPN,CMQ,SMQ,SERVICES
AtlasOfLivingAustralia/biocache-service,151,23,15889,3,20, Java,20,147,AtlasOfLivingAustralia,biocache-service,0.3,0.3595656967736897,0.4028226479485239,1312.0,1.8,263.0,0.31063370251681943,0.15037895148439362,22.0
yunchaoyun/active4j-oa,436,78,9123,3,1, TSQL,1,1,yunchaoyun,active4j-oa,0.3,0.4047994231270104,0.5838327031655981,2003.0,1.5161290322580645,306.0,0.3826505162718859,0.14422293367921502,36.0
racem-cherni/KinderGartenProject,209,57,87052,3,2, HTML,2,0,racem-cherni,KinderGartenProject,0.4,0.5628662260277746,0.15754650164780848,847.0,2.375,582.0,0.35199885449896834,0.1897272559921516,17.0
peonycmsTeam/peonytancms,280,29,171335,3,6, JavaScript,2,0,peonycmsTeam,peonytancms,0.4,0.6609535010906393,0.7792624499708004,1272.0,1.4,277.0,0.4943002878023012,0.21060016011928892,31.0
danbaixidanbai/OCproject,77,15,1889,3,0, JavaScript,0,2,danbaixidanbai,OCproject,0.3,0.8677248677248678,0.8000000000000002,130.0,1.3333333333333333,44.0,0.5843286763741309,0.2888413900913901,12.0
wh4585hai/OnlineSchool,259,26,14914,3,2, JavaScript,1,0,wh4585hai,OnlineSchool,0.3,0.6042853174053132,0.16189983237783004,593.0,1.4,178.0,0.2488908353084824,0.20291351837957605,25.0
c2s/telegram-bot-admin,138,19,2867,3,2, Java,1,0,c2s,telegram-bot-admin,0.3,0.5191647478522755,0.4690854743320466,199.0,1.2142857142857142,129.0,0.3902590074335227,0.15382963858057844,19.0
thinksgroup/Niceschool,165,26,1797,3,2, HTML,0,1,thinksgroup,Niceschool,0.3,0.4074603174603175,0.4768395433931148,136.0,1.15,140.0,0.5140800397293903,0.248783387814,22.0
CrazyZhao/zblog,63,13,3603,3,1, HTML,1,0,CrazyZhao,zblog,0.3,0.6013157894736842,0.601921470342523,135.0,1.3,58.0,0.5455250557523286,0.2708333333333333,12.0
tlkzzz/xpjfx,478,120,26861,3,7, JavaScript,2,0,tlkzzz,xpjfx,0.3,0.4399408681314526,0.5706468011424567,2633.0,2.433333333333333,434.0,0.26933685250433,0.1530151705192287,36.0
nds1993/OpenMPS,922,141,7794,3,1, JavaScript,1,0,nds1993,OpenMPS,0.4,0.6490194111996537,0.9652016530798204,3843.0,2.2131147540983607,619.0,0.3558508114665616,0.2402640296804132,75.0
shangtech/WeiXinPlatform,88,38,10068,3,6, JavaScript,2,0,shangtech,WeiXinPlatform,0.3,0.6493256743256742,0.940555674484246,201.0,1.875,94.0,0.4583937125145917,0.20706084208831466,14.0
jlu-linshuhang/goods-master,87,12,46256,3,3, Java,2,0,jlu-linshuhang,goods-master,0.3,0.7505813027552157,0.9694155120242076,6.0,1.2,53.0,0.340586383313656,0.2296005509641873,11.0
tanzhb/zhgj-project,508,75,101804,3,1, JavaScript,1,1,tanzhb,zhgj-project,0.3,0.4385744277512956,0.4144986059898069,5746.0,1.2105263157894737,618.0,0.2527157468270844,0.14126017255926954,46.0
moxiaohei/OPMS,130,33,4151,3,3, Java,1,0,moxiaohei,OPMS,0.4,0.5332274344148901,0.6222393857629396,389.0,1.0,165.0,0.4575350483330588,0.24343275351398724,17.0
holagoldfish/H5APP-java,39,15,239,3,1, Java,0,0,holagoldfish,H5APP-java,0.3,0.6783333333333333,0.8184126984126984,145.0,1.0,26.0,0.5112345679012346,0.22509259259259265,10.0
okfarm09/JYLAND,68,15,47805,3,1, Java,3,0,okfarm09,JYLAND,0.3,0.5311151811151811,0.6913047270190127,93.0,1.0,48.0,0.3979902196568864,0.2234329405162738,10.0
kimki1124/MetelSOS,61,11,18131,3,0, Java,2,0,kimki1124,MetelSOS,0.3,0.7951800614844093,0.7971955580651232,116.0,1.125,62.0,0.4342537804076265,0.2746578652828653,13.0
cdcchain/cdc-browser,58,15,1024,3,3, CSS,0,0,cdcchain,cdc-browser,0.3,0.5047619047619047,0.2095238095238095,434.0,1.5,18.0,0.549207020086141,0.1652625152625153,14.0
orgqy88cckz/AccumulationFund,134,28,3919,3,0, JavaScript,0,0,orgqy88cckz,AccumulationFund,0.3,0.6289682539682541,0.17460317460317462,9.0,1.0,17.0,0.8956916099773243,0.2632275132275132,7.0
forwardNow/javaee_pkui,253,35,70144,3,3, JavaScript,1,0,forwardNow,javaee_pkui,0.3,0.3717131040112406,0.8998535829414268,858.0,1.4285714285714286,210.0,0.4494824330761831,0.17769305437755364,33.0
LiJiuRi/jie_you_ba,102,18,4748,3,1, Java,0,0,LiJiuRi,jie_you_ba,0.3,0.4544146825396826,0.586656746031746,148.0,1.125,75.0,0.5934623015873017,0.2386949404761905,16.0
RMHM/miniMap,83,12,17285,3,0, JavaScript,0,0,RMHM,miniMap,0.3,0.7036947352164744,0.6029677725209126,88.0,1.0,104.0,0.490195461104552,0.18170274170274173,11.0
tom1994/CEM,404,48,96325,3,2, JavaScript,1,0,tom1994,CEM,0.3,0.5757339903204564,0.09453848668134383,5089.0,1.2857142857142858,243.0,0.5151061921659087,0.15920931684149622,40.0
choerodon/agile-service,815,81,5580,3,8, Java,4,0,choerodon,agile-service,0.3,0.3473484790872334,0.7299318892374617,2753.0,1.4117647058823528,308.0,0.4387621067299929,0.12557687433040082,38.0
nieyue/ActivationCodeMall,307,41,9020,3,1, Java,2,0,nieyue,ActivationCodeMall,0.4,0.2407805105763363,0.863355695420191,822.0,1.3666666666666667,269.0,0.5422972477360933,0.223473677595745,33.0
kdirector1990/WeRPNetwork,116,17,24390,2,0, Java,1,4,kdirector1990,WeRPNetwork,0.3,0.7494055121542013,0.7733725786560595,64.0,1.0,382.0,0.3322689363917434,0.2452802399841873,10.0
longyzkd/wj-web-ext-enhancer,154,64,7874,2,0, JavaScript,1,0,longyzkd,wj-web-ext-enhancer,0.3,0.5429872575289186,0.647232390018992,432.0,1.2,167.0,0.15173882610085035,0.20251255894345802,17.0
VecJunZhi/NewZSWBEM,475,61,86707,2,0, HTML,2,0,VecJunZhi,NewZSWBEM,0.3,0.7235543672162911,0.4652378441783396,536.0,1.3,320.0,0.4612061447604933,0.2168375411344176,31.0
598605338/yikao,607,37,7264,2,1, Java,1,0,598605338,yikao,0.4,0.5879849679518729,0.5436066439256231,803.0,1.206896551724138,304.0,0.5205196407734158,0.21529383651824416,45.0
nullcodeexecutor/pts,174,27,3020,2,0, JavaScript,1,0,nullcodeexecutor,pts,0.3,0.6546125356125355,0.011765399351606249,148.0,1.4666666666666666,105.0,0.38739183715638,0.14739521494828026,20.0
kinorsi/mykided-api,710,34,2153,2,0, Java,1,0,kinorsi,mykided-api,0.3,0.6151975423085262,0.7514399678633089,3884.0,1.08,245.0,0.3394343170226149,0.10738500258749198,32.0
YouAreOnlyOne/CommunityInformationForWeb,163,23,7163,2,1, JavaScript,2,0,YouAreOnlyOne,CommunityInformationForWeb,0.4,0.4426754794733418,0.5508155471488284,187.0,1.6923076923076923,140.0,0.305432924918219,0.1765489585235097,17.0
CeaMYHBK/AppCeaM,35,12,55162,2,0, Java,2,0,CeaMYHBK,AppCeaM,0.3,0.4901960784313725,0.5274237472766884,102.0,1.0,32.0,0.7776360544217688,-0.058928571428571434,8.0
gvSIGAssociation/gvsig-web,127,51,6145,2,0, JavaScript,13,0,gvSIGAssociation,gvsig-web,0.4,0.5354284225767602,0.5381495033779571,252.0,1.2222222222222223,86.0,0.6220132431670893,0.17763932496075358,14.0
dr-thomashartmann/phd-thesis,36,13,22426,2,0, Web Ontology Language,1,0,dr-thomashartmann,phd-thesis,0.4,0.3479287326177279,0.6278648038627536,239.0,1.0,146.0,0.7138724523339908,-0.22040598290598293,13.0
GreaterLondonAuthority/GLA-OPS,625,11,2489,2,0, Java,10,0,GreaterLondonAuthority,GLA-OPS,0.4,0.75,0.16666666666666666,3186.0,1.0,4.0,0.2757934317020481,0.14336007230900516,33.0
qiemengyan/videoconfigserver,214,27,1346,2,2, JavaScript,0,2,qiemengyan,videoconfigserver,0.3,0.7127403074334022,0.2728288715711369,783.0,1.4705882352941178,167.0,0.3746971599926355,0.14713133097544645,19.0
immime/shop-2,292,59,38764,2,2, HTML,2,0,immime,shop-2,0.5,0.42015504336932896,0.2197302169025681,1924.0,2.0,211.0,0.4425464188375669,0.12854640531568828,24.0
hongqiang/shopb2b,465,91,3060,2,1, Java,4,0,hongqiang,shopb2b,0.3,0.36350827964605065,0.2272623760155729,1788.0,1.9743589743589745,300.0,0.481251483239789,0.12766313985733324,46.0
AaronSum/hotel-mgr-sys,498,31,5100,2,2, Java,1,0,AaronSum,hotel-mgr-sys,0.3,0.3257847201652367,0.4261399501526539,1846.0,1.9285714285714288,185.0,0.2137566796237863,0.14427989740295782,39.0
superman7/AccountManagement,67,15,1123,2,4, Java,1,0,superman7,AccountManagement,0.3,0.8857142857142857,0.5095238095238095,66.0,1.0,24.0,0.7086127547666009,0.2551495726495726,13.0
amit-an/webapp_war_sample,334,105,7994,2,2, Java,0,0,amit-an,webapp_war_sample,0.3,0.35416666666666663,0.5625517382277586,569.0,3.071428571428572,67.0,0.4044819541859268,0.14527836249503426,22.0
SupermePower/zammc-manage,119,18,4059,2,0, JavaScript,1,0,SupermePower,zammc-manage,0.3,0.4056547619047619,0.8214285714285714,136.0,1.0625,81.0,0.4020001464638143,0.20254305425874056,18.0
dtdhehe/ptu-life,66,12,5615,2,0, HTML,0,0,dtdhehe,ptu-life,0.4,0.36410256410256414,0.7534760378510379,200.0,1.25,39.0,0.7284189295552932,0.16998331529581528,12.0
lancelee98/PeopleMange,182,22,5014,2,1, Java,0,0,lancelee98,PeopleMange,0.3,0.5866890695672209,0.2502306903622693,216.0,1.2142857142857142,135.0,0.36920620930316217,0.1805180258361863,20.0
YXG520/onlineExamSystem,41,14,22771,2,0, JavaScript,1,0,YXG520,onlineExamSystem,0.3,0.3690685045948203,0.7469871950197764,67.0,1.2,50.0,0.6024911816578484,0.15561067019400354,9.0
jeezhau/ec-server,149,20,1244,2,0, Java,1,0,jeezhau,ec-server,0.4,0.5590884583411757,0.17653251262626266,923.0,1.0625,127.0,0.4346743996743997,0.22745771245005936,21.0
HuangBear/TheaterProject,155,17,77048,2,6, Java,1,2,HuangBear,TheaterProject,0.3,0.5510071314508318,0.5474143010711189,400.0,1.3,145.0,0.4825687395179898,0.21676112644833465,18.0
litbo/hospitalzj,185,26,6518,2,0, JavaScript,0,0,litbo,hospitalzj,0.3,0.4129251700680273,0.6147968181981787,64.0,1.1428571428571428,113.0,0.5814342580496428,0.25025387575387564,26.0
fawks96/pet-hospital,74,11,28850,2,1, Java,0,5,fawks96,pet-hospital,0.3,0.4,0.6,5.0,1.0,12.0,0.4987709054209918,0.2933841036414566,17.0
heaptrip/heaptrip,483,11,10900,2,0, JavaScript,6,83,heaptrip,heaptrip,0.3,0.604830586080586,0.6910956830041651,1230.0,1.375,78.0,0.319729087139719,0.13202869895216304,33.0
398907877/AppPortal,470,77,9868,2,4, Java,2,0,398907877,AppPortal,0.3,0.5184799557735755,0.20109241273591205,574.0,2.84,405.0,0.3379757194796432,0.1567331932631515,32.0
xabaohui/zis,553,135,1591,2,1, Java,1,24,xabaohui,zis,0.3,0.4599452314908635,0.4796231087917189,1668.0,2.652173913043478,373.0,0.3676330637780912,0.14467814139902915,29.0
RoyZeng/gmhx,402,60,3584,2,2, Java,1,0,RoyZeng,gmhx,0.3,0.6654296720780158,0.4495170708052171,1495.0,1.8,514.0,0.4229852583783377,0.1852977422238896,41.0
eea/eionet.webq,196,21,25967,2,3, Java,50,3,eea,eionet.webq,0.3,0.5595069819528025,0.340081775783399,292.0,1.0,81.0,0.4843236258287043,0.15585495650501918,19.0
liudexiang3218/CMSLite,221,13,53183,2,2, Java,0,2,liudexiang3218,CMSLite,0.3,0.6761507936507937,0.2182745957745958,564.0,1.3,78.0,0.3727749566070556,0.18682814660855832,31.0
Russel-JX/OUC-Family,276,23,151174,2,3, Java,2,0,Russel-JX,OUC-Family,0.3,0.8335376903797957,0.7721911983866871,715.0,1.2,127.0,0.5268215587303906,0.15541697539560784,27.0
Maxcj/Maxcj,177,23,13468,2,0, JavaScript,0,2,Maxcj,Maxcj,0.3,0.6195153759284193,0.2103551637021372,282.0,1.4666666666666666,169.0,0.3882430268144554,0.19429367782427368,21.0
qwe7783131/CareerDevelopment,193,37,2167,2,0, HTML,0,2,qwe7783131,CareerDevelopment,0.3,0.8401906131634416,0.5626792998010676,500.0,1.6111111111111112,169.0,0.5639449757178288,0.16689886113156455,19.0
assertmyself/gweb-v2,365,33,127129,2,1, JavaScript,1,0,assertmyself,gweb-v2,0.3,0.6287630941279566,0.4231449719773336,602.0,1.8,173.0,0.28383466097257504,0.20475727932004192,35.0
Lewage59/design2019,33,12,44749,2,1, JavaScript,1,0,Lewage59,design2019,0.3,0.6962962962962963,0.8611111111111112,49.0,1.0,27.0,0.6249999999999999,0.3252700617283951,9.0
Ganweizhi/Ruanzhuo2,142,23,16422,2,3, HTML,1,1,Ganweizhi,Ruanzhuo2,0.3,0.8216114431512356,0.6371445405256577,124.0,1.2352941176470589,114.0,0.5517008332797806,0.3026281825666573,19.0
VN-Lf/GitNo3,126,25,47002,2,1, HTML,1,0,VN-Lf,GitNo3,0.3,0.4259314008558195,0.399209004093062,189.0,1.15,287.0,0.4539867419737549,0.22648878898878905,22.0
ssolutiondev/ssolution,164,19,4506,2,0, JavaScript,2,0,ssolutiondev,ssolution,0.3,0.8792041292041292,0.9514698264698264,199.0,1.0,53.0,0.518002380015367,0.24031009499759504,22.0
findmyapp/findmyapp,139,13,14340,2,0, Java,20,0,findmyapp,findmyapp,0.3,0.6827215268391739,0.2054932753987376,74.0,1.0909090909090908,123.0,0.4083281797567512,0.2094186939136434,15.0
Jeanwin/disrec,333,53,156940,2,2, JavaScript,2,0,Jeanwin,disrec,0.3,0.6475005960912211,0.6432435275411431,1229.0,1.303030303030303,326.0,0.3401953601953601,0.26234104070165576,40.0
zhaowei520/CDCXH,236,33,68563,2,1, Java,0,1,zhaowei520,CDCXH,0.4,0.3705430435577495,0.6160142332379728,1294.0,1.2,158.0,0.4314679112160894,0.05803266317096568,26.0
hyperaeon/CrazyAndOptimize,1390,26,35699,2,1, Java,1,2,hyperaeon,CrazyAndOptimize,0.3,0.67002688172043,0.5296082949308755,415.0,3.0,48.0,0.52136698310203,0.15674008760757308,35.0
HUTchengxi/Tutor,169,17,37474,2,1, JavaScript,2,0,HUTchengxi,Tutor,0.3,0.7439682539682541,0.9942857142857144,176.0,1.0,46.0,0.7424761200495863,0.2437729782294999,23.0
